ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
vzu,Li2FeZr(PO4)3,8,Li16.0Fe8.0Zr8.0P24.0O96.0,1.44e-07,,,Pbca,61,8.47,8.72,23.8,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,339.0
a3e,Li2InHf(PO4)3,8,Li16.0In8.0Hf8.0P24.0O96.0,2.74e-08,,,Pbca,61,8.757,8.954,24.28,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,341.0
ubi,Li2InTi(PO4)3,8,Li16.0In8.0Ti8.0P24.0O96.0,8.3e-06,,,Pbca,61,8.577,8.826,24.05,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,335.0
9z8,Li2InZr(PO4)3,8,Li16.0In8.0Zr8.0P24.0O96.0,8.22e-08,,,Pbca,61,8.761,8.979,24.2,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,340.0
nhq,Li3PS4,4,Li12.0P4.0S16.0,8.93e-07,,,Pnma,62,13.066,8.015,6.101,90.0,90.0,90.0,thio-LISICON,10.1021/ja3110895,1,D2 - 52,done,180319-ICSD,,lattice parameters not matching cif,,,180319.0,52.0,
w7d,Li3PO4,4,Li12.0P4.0O16.0,4.2e-18,,,Pnma,62,6.1113,10.4612,4.9208,90.0,90.0,90.0,LISICON,10.1006/jssc.1995.1140,1,D2 - 70,done,79427-ICSD,,,Yes,,79427.0,70.0,
fj5,Li6.5O8P1.5Si0.5,2,Li13.0O16.0P3.0Si1.0,4.49e-07,,,Pnma,62,10.52587,6.11525,4.97031,90.0,90.0,90.0,LISICON,10.1021/jacs.5b04444,1,D2 - 16,done,238600-ICSD; appendix,,partial occupancy corrected,,,238600.0,16.0,
gxz,Li4Zn(PO4)2,2,Li8.0Zn2.0P4.0O16.0,<1E-10,,,Pnma,62,10.2974,6.5021,5.0011,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,,,"should be deleted, high T structure, refer the alpha phase",,,255465.0,38.0,
tbu,Li3.5Zn0.5Ga0.5(PO4)2,2,Li7.0Zn1.0Ga1.0P4.0O16.0,<1E-10,,,Pnma,62,10.08925,6.5108,4.935878,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,
uxo,Li2.88PO3.73N0.14,4,Li11.52P4.0O14.92N0.56,1.4e-13,,,Pnma,62,6.1153,10.469,4.9195,90.0,90.0,90.0,LISICON,10.1006/jssc.1995.1140,0,D2 - 70,done,,,refer 79426-ICSD; po information is missing,,,79426.0,70.0,615.0
e6b,Li4GeS4,4,Li16.0Ge4.0S16.0,2e-07,,,Pnma,62,14.07,7.75,6.15,90.0,90.0,90.0,thio-LISICON,10.1016/s0167-2738(00)00277-0,1,D2 - 71,done,92200-ICSD,,partial occupancy corrected,,,92200.0,71.0,
pbz,Li3.75Ge0.75V0.25O4,4,Li15.0Ge3.0V1.0O16.0,5.66e-06,,,Pnma,62,10.896,6.2516,5.1571,90.0,90.0,90.0,LISICON,10.1023/a:1026135806929,1,D2 - 73,done,150918-ICSD,,partial occupancy corrected,,,150918.0,73.0,
7ek,Li3.70Ge0.85W0.15O4,4,Li14.8Ge3.4W0.6O16.0,3.8e-05,,,Pnma,62,10.938,6.274,5.1609,90.0,90.0,90.0,LISICON,10.1023/a:1026135806929,1,D2 - 73,done,150920-ICSD,,partial occupancy corrected,,,150920.0,73.0,
86k,Li0.2Ca0.4TaO3,4,Li0.8Ca1.6Ta4.0O12.0,3.53e-09,,,Pnma,62,5.477,7.75,5.479,90.0,90.0,90.0,perovskites,10.1016/j.solidstatesciences.2004.05.006,1,D2 - 74,not available,,,"structure avialble for x=0.15, but no conductivity",,,,74.0,
2uv,Li4SnSe4,4,Li16.0Sn4.0Se16.0,2e-05,,,Pnma,62,14.931,8.2217,6.5989,90.0,90.0,90.0,Chalcogenidotetrelates,10.1021/cm400541n,1,D2 - 76,done,193768-ICSD,, ,,,193768.0,76.0,
kmv,Li4SnS4,4,Li16.0Sn4.0S16.0,7e-05,,,Pnma,62,13.812,7.9624,6.367,90.0,90.0,90.0,Chalcogenidotetrelates,10.1021/cm3011315,1,D2 - 80,done,appendix,,,,,,80.0,658.0
n7a,Li2.5Y0.5Zr0.5Cl6,4,Li10.0Y2.0Zr2.0Cl24.0,0.0014,,,Pnma,62,12.0389,11.1664,6.4069,90.0,90.0,90.0,halides,10.1021/acsenergylett.9b02599,1,D2 - 83,not available,,,Li2.5Er0.5Zr0.5Cl6 is available,,,,83.0,
i6k,Sm0.52Li0.38TiO2.97,4,Sm2.08Li1.52Ti4.0O11.88,2e-07,,,Pnma,62,5.34,7.619,5.441,90.0,90.0,90.0,perovskites,10.1016/0167-2738(94)90310-7,1,D2 - 62,not available,,,IC number should be read from the graph,,,,62.0,
2r7,Li3Cr(MoO4)3,4,Li12.0Cr4.0Mo12.0O48.0,3.19e-09,,,Pnma,62,5.0377,10.4091,17.6149,90.0,90.0,90.0,molybdates,10.1039/b301189e,1,D1 - 691,done,,,,Yes,10.1016/j.jssc.2009.09.012,247057.0,,810.0
b56,Li2Mg2(MoO4)3,4,Li8.0Mg8.0Mo12.0O48.0,<1E-10,,,Pnma,62,5.1167,10.4646,17.6228,90.0,90.0,90.0,molybdates,10.1039/b301189e,1,D1 - 691,done,appendix,,,,,170956.0,75.0,691.0
mfu,Li3Fe(MoO4)3,4,Li12.0Fe4.0Mo12.0O48.0,5.89e-10,,,Pnma,62,5.0697,10.4333,17.6317,90.0,90.0,90.0,molybdates,10.1039/b301189e,1,D1 - 691,done,,,,Yes,ICSD-16176,16176.0,,812.0
x94,Li4SiS4,4,Li16.0Si4.0S16.0,4.93e-08,,,Pnma,62,13.735,7.769,6.147,90.0,90.0,90.0,thio-LISICON,10.1016/0025-5408(89)90053-6,1,D1 - 764; D2 - 15,not available,,,appendix: diffraction data available,,,,,634.0
kmr,Li10Ge0.95Si0.05P2S12,2,Li20.0Ge1.9Si0.1P4.0S24.0,0.0086,,,P42/nmc ,137,8.7149,8.7149,12.599,90.0,90.0,90.0,thio-LISICON,10.1016/j.jpowsour.2014.07.159,1,D1 - 772,not available,,,,,,,,641.0
e6e,Li3.2Ge0.2P0.8O4,4,Li12.8Ge0.8P3.2O16.0,1.14e-06,,,Pnma,62,10.5562,6.1319,4.9769,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,447.0
ylh,Li3.2Ge0.2V0.8O4,4,Li12.8Ge0.8V3.2O16.0,1.9e-05,,,Pnma,62,10.8685,6.2984,5.1017,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,452.0
eij,Li3.4Ge0.4P0.6O4,4,Li13.6Ge1.6P2.4O16.0,4.5e-06,,,Pnma,62,10.6305,6.1639,5.0266,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,451.0
ldd,Li3.4Ge0.4V0.6O4,4,Li13.6Ge1.6V2.4O16.0,8.89e-07,,,Pnma,62,10.8697,6.2784,5.1181,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,455.0
efb,Li3.6Ge0.6P0.4O4,4,Li14.4Ge2.4P1.6O16.0,1.1e-05,,,Pnma,62,10.7284,6.1866,5.0882,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,450.0
lcm,Li3.6Ge0.6V0.4O4,4,Li14.4Ge2.4V1.6O16.0,3.19e-05,,,Pnma,62,10.8786,6.26,5.1371,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,453.0
mgs,Li3.8Ge0.8P0.2O4,4,Li15.2Ge3.2P0.8O16.0,1.03e-06,,,Pnma,62,10.8096,6.1767,5.1421,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,444.0
31s,Li3.8Ge0.8V0.2O4,4,Li15.2Ge3.2V0.8O16.0,2.71e-06,,,Pnma,62,10.8891,6.2315,5.1518,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,454.0
dku,Li3P0.4V0.6O4,4,Li12.0P1.6V2.4O16.0,3.55e-13,,,Pnma,62,10.7651,6.2647,4.9262,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,448.0
ndx,Li3P0.6V0.4O4,4,Li12.0P2.4V1.6O16.0,3.2e-13,,,Pnma,62,10.6467,6.2052,4.9763,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,456.0
m0j,Li3P0.8V0.2O4,4,Li12.0P3.2V0.8O16.0,2.05e-13,,,Pnma,62,10.554,6.1486,4.9492,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,458.0
9lo,Li3PO4,4,Li12.0P4.0O16.0,1.75e-13,,,Pnma,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,refer 79427-ICSD,,,Yes,ICSD-77095,77095.0,,445.0
dth,Li4GeO4,4,Li16.0Ge4.0O16.0,1.3e-12,,,Cmcm,63,7.7661,7.3645,6.0555,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,,,,Yes,10.1002/zaac.19875551213,65177.0,,457.0
45e,Li2MgBr4,4,Li8.0Mg4.0Br16.0,7.8e-10,,,Cmmm ,65,7.771,11.04,7.735,90.0,90.0,90.0,halides,10.1002/chin.198639014|10.1149/1.2108704,1,D2 - 89,not available,refer 73276-ICSD,,,,,73276.0,89.0,
85t,La0.57Li0.29TiO3,8,La4.56Li2.32Ti8.0O24.0,0.0016,,,Cmmm ,65,7.737,7.742,7.785,90.0,90.0,90.0,perovskites,10.1016/j.jpowsour.2012.11.098,1,D1 - 22,not available,,,,,,,,15.0
x2i,LiBiO2,8,Li8.0Bi8.0O16.0,3.8e-08,,,Ibam,72,18.00548,5.18159,4.97144,90.0,90.0,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,46022-ICSD,,,Yes,ICSD-46022,46022.0,30.0,
i9a,Li2.5Zn0.25PS4,2,Li5.0Zn0.5P2.0S8.0,0.00084,,, I-4,82,5.836,5.836,8.829,90.0,90.0,90.0,sulfides,10.1021/acs.chemmater.7b05108,1,D2 - 69,not available,,,,,,,69.0,
i47,LiZnPS4,2,Li2.0Zn2.0P2.0S8.0,5.4e-08,,, I-4,82,5.738,5.738,8.914,90.0,90.0,90.0,sulfides,10.1021/acs.chemmater.7b05108,1,D2 - 69,done,,,,Yes,10.1002/1521-3749(200208)628:8<1765::AID-ZAAC1765>3.0.CO;2-E,95785.0,69.0,
dco,Li2Zn0.5PS4,2,Li4.0Zn1.0P2.0S8.0,0.00013,,, I-4,82,5.795,5.795,8.834,90.0,90.0,90.0,sulfides,10.1021/acs.chemmater.7b05108,1,D2 - 69,available,264462-ICSD,,,,,264462.0,69.0,
tqb,Li1.5Zn0.75PS4,2,Li3.0Zn1.5P2.0S8.0,1.65e-05,,, I-4,82,5.764,5.764,8.843,90.0,90.0,90.0,sulfides,10.1021/acs.chemmater.7b05108,1,D2 - 69,available,264463-ICSD,,,,,264463.0,69.0,
xz4,(Li0.5Ce0.5)(MoO4),4,Li2.0Ce2.0Mo4.0O16.0,1.3e-08,,,I41/a ,88,5.2943,5.2943,11.6254,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186450-ICSD,,partial occupancy corrected,,,186450.0,91.0,
hja,(Li0.5Ce0.25Pr0.25)(MoO4),4,Li2.0Ce1.0Pr1.0Mo4.0O16.0,1e-09,,,I41/a ,88,5.284,5.284,11.5763,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186451-ICSD,,partial occupancy corrected,,,186451.0,91.0,
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),4,Li2.0Ce1.0Sm1.0Mo4.0O16.0,1.8e-10,,,I41/a ,88,5.2546,5.2546,11.5052,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186452-ICSD,,partial occupancy corrected,,,186452.0,91.0,
qa9,Li3BN2,2,Li6.0B2.0N4.0,1.6e-10,,,P42/mnm,136,4.6435,4.6435,5.2592,90.0,90.0,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,655673-ICSD,Li3BN2_II.cif,changed space group to reflect actual higher symmetry,,,655673.0,93.0,
ihb,Li0.33La0.56Ti0.99Al0.01O2.99F0.01,2,Li0.66La1.12Ti1.98Al0.02O5.98F0.02,0.00098,,,P4mm ,99,3.8701,3.8701,7.756,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
3k7,Li0.33La0.56Ti0.98Al0.02O2.98F0.02,2,Li0.66La1.12Ti1.96Al0.04O5.96F0.04,0.00106,,,P4mm ,99,3.8697,3.8697,7.749,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
1sz,Li0.33La0.56Ti0.97Al0.03O2.97F0.03,2,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,0.000928,,,P4mm ,99,3.8692,3.8692,7.7434,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
yh8,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,2,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,0.000622,,,P4mm ,99,3.8697,3.8697,7.744,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,63.0
coh,Li0.33La0.56Ti0.95Al0.05O2.95F0.05,2,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,0.000176,,,P4mm ,99,3.8667,3.8667,7.739,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
1pw,Li0.33La0.56Ti0.94Al0.06O2.94F0.06,2,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,0.000106,,,P4mm ,99,3.8722,3.8722,7.73,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
bw3,Li0.33La0.56Ti0.93Al0.07O2.93F0.07,2,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,0.000645,,,P4mm ,99,3.8705,3.8705,7.7476,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
my5,Li0.33La0.56Ti0.92Al0.08O2.92F0.08,2,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,0.000494,,,P4mm ,99,3.8695,3.8695,7.7437,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0
0lo,Li0.27La0.57TiO3,2,Li0.54La1.14Ti2.0O6.0,0.00034,,,P4/mmm,123,3.873,3.873,7.75,90.0,90.0,90.0,perovskites,10.1021/cm001207u,1,D2 - 61,not available,,,,,,,61.0,
hta,La0.565Li0.305TiO3,2,La1.13Li0.61Ti2.0O6.0,0.000957,,,P4/mmm,123,3.8727,3.8727,7.751,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92235-ICSD,,,,,92235.0,59.0,
s3h,La0.5Li0.5TiO3,2,La1.0Li1.0Ti2.0O6.0,0.000925,,,P4/mmm,123,3.8688,3.86885,7.7462,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92237-ICSD,,,,,92237.0,59.0,
86o,La0.61Li0.18TiO3,2,La1.22Li0.36Ti2.0O6.0,0.000412,,,P4/mmm,123,3.8695,3.8695,7.778,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,
2lu,La0.55Li0.36TiO3,2,La1.1Li0.72Ti2.0O6.0,0.000688,,,P4/mmm,123,3.868,3.868,7.751,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,
bd5,La0.54Li0.39TiO3,2,La1.08Li0.78Ti2.0O6.0,0.000651,,,P4/mmm,123,3.867,3.867,7.748,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,
ukw,La0.52Li0.45TiO3,2,La1.04Li0.9Ti2.0O6.0,0.000501,,,P4/mmm,123,3.8673,3.8673,7.739,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,
5h8,La0.58Li0.27TiO3,2,La1.16Li0.54Ti2.0O6.0,0.000599,,,P4/mmm,123,3.87,3.87,7.773,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,
vwy,La0.56Li0.33TiO3,2,La1.12Li0.66Ti2.0O6.0,0.000668,,,P4/mmm,123,3.8675,3.8675,7.758,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,done,,,,Yes,10.1006/jssc.1996.0385,82671.0,97.0,
2ha,La0.56Li0.33TiO3,2,La1.12Li0.66Ti2.0O6.0,0.000165,,,P4/mmm,123,3.89816,3.89816,7.8519,90.0,90.0,90.0,perovskites,10.1016/j.jallcom.2013.04.195,1,D2 - 98,not available,,,,,,,98.0,
il5,Nd0.25Li0.25TaO3,2,Nd0.5Li0.5Ta2.0O6.0,1.31e-08,,,P4/mmm,123,3.872,3.872,7.73,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00414-7,1,D1 - 615,not available,,,,,,,,615.0
r1m,Sm0.25Li0.25TaO3,2,Sm0.5Li0.5Ta2.0O6.0,4.32e-10,,,P4/mmm,123,3.859,3.859,7.71,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00414-7,1,D1 - 615,not available,,,,,,,,615.0
nua,Li(LaTiO4),2,Li2.0La2.0Ti2.0O8.0,<1E-10,,,P4/nmm ,129,3.77,3.77,12.076,90.0,90.0,90.0,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,D2 - 99,done,91843-ICSD,,,,,91843.0,99.0,
3rx,Li(NdTiO4),2,Li2.0Nd2.0Ti2.0O8.0,<1E-10,,,P4/nmm ,129,3.7465,3.7465,11.895,90.0,90.0,90.0,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,D2 - 99,done,91844-ICSD,,,,,91844.0,99.0,
7e5,La0.65Li0.05(Mg0.5W0.5)O3,4,La2.6Li0.2Mg2.0W2.0O12.0,1.8e-07,,,P4/nmm ,129,5.533,5.533,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151900-ICSD,,partial occupancy corrected,,,151900.0,100.0,
sib,La0.63Li0.11(Mg0.5W0.5)O3,4,La2.52Li0.44Mg2.0W2.0O12.0,6.8e-06,,,P4/nmm ,129,5.534,5.534,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151901-ICSD,,partial occupancy corrected,,,151901.0,100.0,
r99,La0.62 Li0.14(Mg0.5W0.5)O3,4,La2.48Li0.56Mg2.0W2.0O12.0,1.2e-05,,,P4/nmm ,129,5.533,5.533,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151902-ICSD,,partial occupancy corrected,,,151902.0,100.0,
lol,Li4PS4I,2,Li8.0P2.0S8.0I2.0,0.00012,,,P4/nmm ,129,8.48284,8.48284,5.93013,90.0,90.0,90.0,thio-LISICON,10.1021/acs.chemmater.7b00013,1,D2 - 101,done,,,appendix: diffraction data available,,,432169.0,101.0,
d7f,Li3BiO4,4,Li12.0Bi4.0O16.0,4.1e-10,,,P42/mnm,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,,,,Yes,ICSD-109087,109087.0,30.0,
52b,Li10.05Ge1.05P1.95S12,2,Li20.1Ge2.1P3.9S24.0,0.0122,,,P42/nmc ,137,8.6944,8.6944,12.60025,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,
8po,Li10.2Ge1.2P1.8S12,2,Li20.4Ge2.4P3.6S24.0,0.0132,,,P42/nmc ,137,8.7043,8.7043,12.616,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,
ya8,Li10.5Ge1.5P1.5S12,2,Li21.0Ge3.0P3.0S24.0,0.011,,,P42/nmc ,137,8.7025,8.7025,12.6251,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,
j8q,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0121,,,P42/nmc ,137,8.719,8.719,12.639,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,1,D2 - 104,done,,,,Yes,10.1039/c3cp51985f,188887.0,111.0,
824,Li10.35Ge1.35P1.65S12,2,Li20.7Ge2.7P3.3S24.0,0.0144,,,P42/nmc ,137,8.713023,8.713023,12.639695,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,done,193947-ICSD,,,,,193947.0,104.0,
mqo,Li3.45Si0.45P0.55S4,6,Li20.7Si2.7P3.3S24.0,0.00673,,,P42/nmc ,137,8.669578,8.669578,12.536058,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,refer D2 - 109; 252037-ICSD,,,,105.0,
izs,Li3.475Si0.475P0.525S4,6,Li20.85Si2.85P3.15S24.0,0.00527,,,P42/nmc ,137,8.672,8.672,12.536,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
8nc,Li3.425Si0.425P0.575S4,6,Li20.55Si2.55P3.45S24.0,0.00565,,,P42/nmc ,137,8.653,8.653,12.51,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
3sx,Li3.4Si0.4P0.6S4,6,Li20.4Si2.4P3.6S24.0,0.00421,,,P42/nmc ,137,8.644,8.644,12.504,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
xga,Li3.335Sn0.33P0.67S4,6,Li20.01Sn1.98P4.02S24.0,0.00373,,,P42/nmc ,137,8.743,8.743,12.782,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
xn9,Li3.3Sn0.3P0.7S4,6,Li19.8Sn1.8P4.2S24.0,0.00365,,,P42/nmc ,137,8.731,8.731,12.768,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
sg4,Li3.285Sn0.28P0.72S4,6,Li19.71Sn1.68P4.32S24.0,0.00436,,,P42/nmc ,137,8.721,8.721,12.725,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
ns3,Li3.27Sn0.27P0.73S4,6,Li19.62Sn1.62P4.38S24.0,0.00496,,,P42/nmc ,137,8.7405,8.7405,12.715,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
g8j,Li3.26Sn0.26P0.74S4,6,Li19.56Sn1.56P4.44S24.0,0.00453,,,P42/nmc ,137,8.737,8.737,12.713,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
bim,Li3.25Sn0.25P0.75S4,6,Li19.5Sn1.5P4.5S24.0,0.0036,,,P42/nmc ,137,8.722,8.722,12.72,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,
02p,Li10SiP2S12,2,Li20.0Si2.0P4.0S24.0,0.0023,,,P42/nmc ,137,8.6512,8.6512,12.5095,90.0,90.0,90.0,LGPS,10.1149/2.0501412jes,1,D2 - 106,not available,,,,,,,106.0,686.0
9lx,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.007,,,P42/nmc ,137,8.7057,8.7057,12.7389,90.0,90.0,90.0,LGPS,10.1021/ja407393y,1,D2 - 107,done,193755-ICSD; appendix,,,,,193755.0,107.0,
mtn,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0246,,,P42/nmc ,137,8.71121,8.71121,12.6078,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,
9rc,Li10(Ge0.776Sn0.224)P2S12,2,Li20.0Ge1.55Sn0.45P4.0S24.0,0.0141,,,P42/nmc ,137,8.71859,8.71859,12.6514,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,
13q,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.00398,,,P42/nmc ,137,8.73685,8.73685,12.7573,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,lattice parameters not matching cif,,,,108.0,
ik8,Li10(Ge0.416Sn0.584)P2S12,2,Li20.0Ge0.83Sn1.17P4.0S24.0,0.00743,,,P42/nmc ,137,8.72902,8.72902,12.7065,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,
nip,Li9.81Sn0.81P2.19S12,2,Li19.62Sn1.62P4.38S24.0,0.0055,,,P42/nmc ,137,8.73764,8.73764,12.7166,90.0,90.0,90.0,LGPS,10.1107/s2052520615022283,1,D2 - 109,done,252040-ICSD,,partial occupancy corrected,,,252040.0,109.0,609.0
1hh,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.012,,,P42/nmc ,137,8.69407,8.69407,12.5994,90.0,90.0,90.0,LGPS,10.1038/nmat3066,1,D2 - 110,not available,,,appendix: diffraction data available,,,,110.0,560.0
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,2,Li21.0Sn0.6Si2.4P3.0S24.0,0.00879,,,P42/nmc ,137,8.69204,8.69204,12.6166,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,257947-ICSD,,appendix: diffraction data available,,,257947.0,111.0,
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,2,Li20.4Sn0.48Si1.92P3.6S24.0,0.00782,,,P42/nmc ,137,8.65173,8.65173,12.5349,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,appendix: diffraction data available,,,257948.0,111.0,
ui6,Li10.35(Sn0.27Si1.08)P1.65S12,2,Li20.7Sn0.54Si2.16P3.3S24.0,0.011,,,P42/nmc ,137,8.67822,8.67822,12.5744,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,duplicated with line 204; deleted,,,257946.0,111.0,
